protocol,success,hops,messages,match_error,utility,N,ttl,epsilon,alpha,metric,seed
Epidemic,0,20,48,,0.0,100,20,0.5,0.0,l1,37079
RandomWalk,0,5,5,,0.0,100,20,0.5,0.0,l1,37079
Heuristic-MADTSR,0,12,12,,0.0,100,20,0.5,0.0,l1,37079
RL-MADTSR,0,8,8,,0.0,100,20,0.5,0.0,l1,37079
Epidemic,0,30,48,,0.0,100,30,0.5,0.0,l1,37079
RandomWalk,0,5,5,,0.0,100,30,0.5,0.0,l1,37079
Heuristic-MADTSR,0,11,11,,0.0,100,30,0.5,0.0,l1,37079
RL-MADTSR,0,8,8,,0.0,100,30,0.5,0.0,l1,37079
Epidemic,0,40,48,,0.0,100,40,0.5,0.0,l1,37079
RandomWalk,0,5,5,,0.0,100,40,0.5,0.0,l1,37079
Heuristic-MADTSR,0,12,12,,0.0,100,40,0.5,0.0,l1,37079
RL-MADTSR,0,8,8,,0.0,100,40,0.5,0.0,l1,37079
Epidemic,0,10,0,,0.0,100,10,0.5,0.0,l1,18254
RandomWalk,0,4,4,,0.0,100,10,0.5,0.0,l1,18254
Heuristic-MADTSR,0,7,7,,0.0,100,10,0.5,0.0,l1,18254
RL-MADTSR,0,10,10,,0.0,100,10,0.5,0.0,l1,18254
Epidemic,0,20,0,,0.0,100,20,0.5,0.0,l1,18254
RandomWalk,0,4,4,,0.0,100,20,0.5,0.0,l1,18254
Heuristic-MADTSR,0,7,7,,0.0,100,20,0.5,0.0,l1,18254
RL-MADTSR,0,17,17,,0.0,100,20,0.5,0.0,l1,18254
Epidemic,0,30,0,,0.0,100,30,0.5,0.0,l1,18254
RandomWalk,0,5,5,,0.0,100,30,0.5,0.0,l1,18254
Heuristic-MADTSR,0,6,6,,0.0,100,30,0.5,0.0,l1,18254
RL-MADTSR,0,17,17,,0.0,100,30,0.5,0.0,l1,18254
Epidemic,0,40,0,,0.0,100,40,0.5,0.0,l1,18254
RandomWalk,0,5,5,,0.0,100,40,0.5,0.0,l1,18254
Heuristic-MADTSR,0,6,6,,0.0,100,40,0.5,0.0,l1,18254
